Q1.2,Q1.3,Q1.4,Q1.5,Q1.6,Q1.8_1,Q1.8_2,Q16.2_1,Q16.2_2,Q16.2_3,Q16.2_4,Q16.2_5,Q16.2_6,Q16.2_7,Q16.2_8,Q16.2_9,Q16.2_10,Q16.3_1,Q16.3_2,Q16.3_3,Q16.4_1,Q16.4_2,Q16.4_3,Q16.4_4,Q16.4_5,Q16.5_1,Q16.5_2,Q16.5_3,Q16.5_4,Q16.5_5,Q16.5_6,Q16.5_7,Q16.5_8,Q16.5_9,Q16.6_1,Q16.6_2,Q16.6_3,Q16.6_4,Q16.6_5,Q16.6_6,Q16.6_7,Q16.6_8,Q16.6_9,Q16.6_10,Q16.6_11,Q16.6_12,Q16.7_1,Q16.7_2,Q16.7_3,Q16.7_4,Q16.7_5,Q16.7_6,Q16.7_7,Q16.7_8,Q16.8_1,Q16.8_2,Q16.8_3,Q16.8_4,Q16.8_5,Q16.9_1,Q16.9_2,Q16.9_3,Q16.9_4,Q16.9_5,Q16.9_6,Q16.9_7,Q16.9_8,Q16.9_9
8,4,5,4,0.025444155,-0.11107054,0.140172615,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2,4,6,2,2.167080002,0.80963962,-0.743237976,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
11,3,5,7,0.505265153,-0.550005574,-0.087120396,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4,2,4,7,0.505265153,0.194861341,-0.546448375,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5,3,4,7,-1.045373768,-0.510345443,0.42477133,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10,2,3,7,0.505265153,0.251045994,-0.481149636,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
11,2,3,7,0.025444155,-0.166955747,-0.186905529,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,6,6,7,-0.56555277,-0.396161281,-0.267207499,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
11,5,6,7,-0.454376842,0.71197998,-0.497852134,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3,3,5,7,-0.56555277,-0.526869965,0.871364317,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
11,2,2,7,1.096262079,-0.879094219,-0.006509492,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,2,2,7,3.237897925,-1.329595953,-1.663125696,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,2,4,4,0.025444155,-1.427255592,-1.417739854,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
