extraversion,agreeableness,conscientiousness,neuroticism,openness,implusiveness,rational,experiential,normative.influence,informational.influence,need_for_closure,utilitarian,hedonic,individual,collective
3,3,3,3,3,1.583661193,-0.930388172,-0.481288477,4,4,0.676279348,0.488263355,-0.200755929,-0.4469051,-0.9519016
4,3.333333333,2,3,3.5,0.958443285,0.093516134,0.450623966,4,4,-0.363982392,-0.412801046,-1.331294503,-0.4469051,-0.9519016
3.5,4.666666667,3,2.5,3,-0.039936198,0.093516134,0.450623966,4,4,0.021654601,0.470144845,0.14730452,-0.5482701,-0.0604908
2.5,3.666666667,3,3.5,2.5,1.33160486,-0.930388172,-0.481288477,3,4,0.399136256,0.011999756,-0.260256571,-0.4713204,-0.5282546
1,4.333333333,5,1.5,4.5,-1.038315681,0.631815637,-0.921987191,1,4,0.044763626,-0.171406557,-0.613577507,-1.6255076,-0.6803811
2.5,4,5,3,4.5,-0.445102129,1.11742044,0.450623966,3,4,0.422245281,0.23197194,0.037486339,0.46018438,0.41966008
2.5,4,4.5,3,5,-1.038315681,0.579120937,-0.481288477,2,4,0.504493149,0.524664799,-0.576605389,-0.3498289,-0.0012319
4.5,4,3.5,5,4,0.956976451,0.579120937,-0.006913086,1,4,0.807882274,0.171111744,-1.092001654,0.16252261,0.33077168
5,5,5,1,5,-1.038315681,1.11742044,-2.345113364,1,3,2.465722496,0.250172662,-0.150438391,-0.671906,0.33352671
2.5,3.666666667,2.5,2,3,0.148111423,-0.930388172,0.450623966,1,1,-1.258703966,-0.146783381,1.212031383,-1.7231687,1.01420683
4,3.666666667,4.5,2,5,-0.445102129,0.579120937,1.38253641,4,4,-0.0868393,-0.077284288,-0.307702072,-0.9858163,0.0607821
3.5,3,3,1.5,4.5,0.553277354,1.11742044,-1.41320092,1,4,2.502768762,-0.809757088,0.031175271,0.34083732,-1.0284029
2,3.333333333,2.5,1.5,3.5,0.958443285,0.093516134,-0.481288477,2,3,0.807882274,0.012081969,-0.100120853,0.43206526,0.04012987
3,3.333333333,2.5,3.5,2.5,1.363609215,-0.930388172,0.450623966,3,5,-0.218442226,-0.333657916,-0.229595522,1.16727326,0.00774537
2,3.333333333,4,3,4,0.958443285,-0.877693472,-1.41320092,2,2,-0.363982392,-1.350266891,-2.085983617,0.23576849,-0.9401693
1,2.333333333,4.5,5,4,-0.851734893,-1.954292478,-2.345113364,4,5,-1.404244132,-0.464181629,-0.159621496,0.41564262,-0.5751264
3.5,3,3,4,3.5,1.988827123,0.579120937,0.924999357,5,5,0.14510219,0.470062632,-0.012831198,-0.3519733,0.91980836
4.5,4.666666667,5,3,3.5,-0.225050152,1.11742044,1.38253641,4,4,-0.363982392,1.389327755,0.929782646,-0.4469051,-0.9519016
1.5,4.666666667,5,4.5,4,-1.038315681,0.093516134,-0.93882553,3,4,-0.509522558,0.012081969,-0.100120853,-2.0431014,0.42792519
3,4,4,2,4,-0.665154106,1.11742044,0.908161019,5,5,-0.618016459,1.310102412,-0.332052053,1.21980768,-0.0363714
1,4,4.5,1.5,4,-0.851734893,0.579120937,-1.41320092,2,2,-0.0868393,0.030282691,-0.288045584,-0.4490495,-0.0308613
4.5,4.333333333,4.5,2,4,-0.445102129,0.631815637,0.450623966,4,4,1.499553287,0.488263355,-0.200755929,0.1869379,-0.0928753
2.5,4.333333333,5,1.5,4.5,-1.038315681,0.631815637,0.450623966,3,4,-0.255488491,0.58568942,0.87315404,0.3631082,-0.5310096
2.5,4.333333333,4.5,1.5,5,-0.851734893,-0.444783369,0.450623966,2,2,0.747726983,-0.650809526,-1.120841248,-0.3498289,-0.0012319
3.5,2.666666667,3,2,4.5,0.366696566,0.093516134,-1.870737973,4,1,1.863097702,0.895360311,-2.617479184,-1.7188799,-0.8278736
4.5,4.666666667,5,1.5,2.5,-0.445102129,1.11742044,-0.955663868,2,2,-0.363982392,-0.589784905,0.328918182,-0.3498289,-0.0012319
2.5,4.333333333,4,1.5,3.5,-0.631682916,0.579120937,1.38253641,5,5,-1.258703966,1.389327755,0.929782646,1.21766327,0.88466882
2,2.333333333,4,4.5,4,-0.039936198,-0.392088669,-0.006913086,2,4,-0.255488491,-0.128664871,0.863970935,0.48459968,-0.0039869
2.5,4.333333333,4,4.5,3.5,0.365229733,-0.444783369,1.38253641,4,5,-0.595923881,0.956467144,-1.007584036,1.19539238,0.38727558
5,3.666666667,5,2,5,-0.039936198,1.11742044,-1.41320092,3,4,-0.764573073,-0.47424033,1.054767703,1.22195209,-0.9574116
3,2.666666667,2.5,2,2.5,-0.445102129,-0.392088669,-0.006913086,3,4,0.530739182,-0.110546362,0.515910487,-1.0828925,-0.8898876
3.5,4.333333333,5,1.5,4,-0.631682916,0.093516134,-0.481288477,4,4,-0.618016459,-0.333575703,-0.069459804,0.28615849,-0.0632458
2,3.333333333,3,2,3.5,-0.039936198,0.631815637,0.450623966,1,1,-0.641125484,-0.085344096,-1.174030822,-1.062766,0.52854587
2,4,4,3,3,-0.039936198,0.093516134,1.38253641,4,2,-0.14699459,0.329398005,1.111396308,-1.1842575,0.00152316
4,4.333333333,4,2,4.5,-1.038315681,-0.392088669,-0.006913086,2,2,0.639233083,-0.456039608,0.866842972,-0.4490495,-0.0308613
1.5,2.666666667,4,2.5,3,-0.039936198,0.093516134,-0.481288477,2,3,0.699388373,-0.809839301,-0.128960447,0.38537908,-0.0336164
4,4,4.5,2,4,-0.631682916,0.093516134,-1.41320092,4,4,0.261751427,0.268373384,-0.338363121,0.38537908,-0.0336164
5,5,5,1,5,-0.038469364,1.11742044,1.38253641,1,4,2.465722496,-0.571584183,0.140993452,-1.1864019,0.92256339
4,4,4,2,4,-0.445102129,0.093516134,0.450623966,4,3,0.422245281,0.250172662,-0.150438391,0.28615849,-0.0632458
5,5,5,1,5,-1.038315681,0.093516134,-0.481288477,3,2,-0.641125484,-0.006036541,0.247939595,-0.5504145,0.86054942
4,4.666666667,4,1,4.5,-1.038315681,1.11742044,-0.023751424,2,3,0.422245281,-0.189607279,-0.425652777,0.41564262,-0.5751264
2,3.333333333,4.5,3.5,4.5,0.146644589,0.579120937,-0.955663868,2,4,-0.232379466,-0.226090937,-0.209939034,0.38537908,-0.0336164
4.5,5,5,1,4,-1.038315681,0.579120937,0.450623966,1,4,-0.14699459,0.286656319,-0.366152134,0.50687056,0.49340633
1,3.666666667,3.5,5,2.5,-0.851734893,-1.415992975,-1.41320092,1,2,-1.295750231,0.693256399,0.892810528,-0.2283374,0.52579084
2.5,3,4,4.5,3.5,0.365229733,-1.468687675,-0.464450139,3,2,1.19930117,-1.004609219,-2.116644666,-0.418786,-0.5723714
