Q1.9_1,Q1.9_2,Q1.9_3,Q1.10_1,Q1.10_2,Q1.10_3,Q1.10_4,Q1.10_5,Q1.10_6,Q1.10_7,Q1.10_8,Q1.10_9,Q1.10_10,Q1.10_11,Q1.10_12,Q1.10_13,Q1.10_14,Q1.10_15,Q1.10_16,Q1.10_17,Q1.10_18
4,4,4,4,4,4,3,3,3,4,3,4,3,3,3,3,3,3,4,3,3
3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,1,3,5,3,2,4,3,2,1,2,2,5,5,3,5,3,5,3,5,1
1,1,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,2,3,3
3,2,5,3,1,1,1,3,1,1,4,1,1,1,1,4,1,3,1,1,1
3,3,3,2,5,4,3,3,4,3,2,4,3,4,2,4,3,5,2,4,2
2,1,3,2,1,4,2,3,1,1,1,2,2,2,3,2,2,2,1,1,2
4,2,3,4,4,4,3,3,3,1,5,5,3,4,3,4,1,4,2,3,2
3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,3
4,2,3,2,1,2,4,1,1,1,4,3,2,3,3,5,3,5,1,1,1
2,2,4,1,4,1,4,3,1,1,1,3,4,5,4,4,1,1,1,1,1
1,1,1,3,3,3,2,1,3,1,3,1,1,1,3,4,1,1,1,4,1
2,1,1,3,3,1,1,1,3,1,2,1,1,1,1,1,1,1,1,3,1
3,3,4,2,3,2,2,3,3,3,1,1,3,2,2,3,2,2,2,1,2
2,2,2,3,1,1,1,1,3,1,1,3,1,1,1,3,1,1,3,3,1
1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,3,1,2,1,2,1
5,3,4,3,4,5,4,2,3,3,4,4,4,2,3,5,3,3,5,5,4
5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5
3,3,3,4,3,4,4,3,3,2,4,3,4,2,2,4,2,3,1,3,3
4,4,4,4,4,4,2,4,4,3,3,4,4,3,3,4,3,4,2,4,1
4,3,2,3,2,3,5,3,2,1,5,1,3,4,4,5,3,5,1,5,1
3,2,3,3,2,2,3,3,2,4,2,3,2,3,3,3,2,3,2,3,1
5,2,4,4,5,4,4,5,4,3,4,3,4,4,4,3,3,5,5,4,4
3,3,3,1,3,3,2,1,1,1,1,1,2,3,1,4,1,3,1,3,1
3,2,4,1,1,2,4,2,2,5,5,4,3,3,5,1,1,3,3,3,4
3,1,4,4,2,4,3,3,1,2,2,4,3,4,5,3,1,5,4,3,1
5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,2,3,4,4,5,3,2,3,2,4,3,2,2,4,4,2,4,1,4,4
3,3,4,4,2,3,5,3,4,1,2,2,5,4,2,5,3,4,4,4,2
3,2,3,4,1,4,4,2,2,5,2,2,1,1,1,5,1,3,2,5,1
3,4,4,4,5,3,3,4,2,3,4,5,5,4,3,4,3,4,3,4,4
4,3,4,4,3,3,3,3,3,2,3,4,3,2,3,4,2,3,4,3,2
3,2,4,1,1,2,2,3,1,1,3,1,2,1,3,2,1,1,1,1,1
3,2,5,4,3,3,3,2,1,4,2,4,3,3,3,5,2,2,4,1,3
4,2,5,5,5,3,4,2,2,3,2,4,3,3,3,5,3,3,3,3,2
1,1,1,1,1,1,2,1,2,2,2,2,1,2,3,3,2,2,2,2,1
3,3,4,2,2,3,4,2,3,2,4,4,4,3,2,4,2,4,3,3,2
2,1,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,3,1
3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,2,4,3,1
2,1,3,2,2,3,3,2,1,2,3,3,3,3,2,3,1,2,2,2,1
4,2,4,3,2,4,4,1,2,3,2,3,4,5,2,5,1,3,1,3,1
3,2,2,3,3,3,3,1,1,1,2,1,2,2,2,3,2,3,1,3,1
3,3,4,5,4,5,4,2,1,3,5,5,5,3,4,3,2,3,2,4,5
3,4,4,3,3,3,3,2,1,2,4,3,1,2,3,5,2,3,1,3,1
3,2,2,1,4,2,2,3,4,2,4,4,3,2,5,2,4,2,4,3,3
2,2,2,2,2,2,1,1,2,2,3,2,3,3,1,3,2,2,5,1,1
2,2,3,3,4,5,5,3,5,2,5,5,5,5,4,5,5,2,1,4,2
4,3,3,5,5,4,4,4,1,3,1,3,5,5,4,5,4,4,5,5,3
3,2,4,4,4,3,1,1,5,1,3,4,3,3,1,4,3,3,1,4,1
